ImageCollection,Bands,Resultion,StartDate,EndDate,NumberofDays,Description,CorrectionFactor,Convert,Unit,comments,Links,ColorPlatte
MODIS/006/MOD11A1,LST_Day_1km,1000,03/05/2000,30/10/2021,120,Daytime Land Surface Temperature.,0.02,-273.15,celsius,QC_Day Not used,https://lpdaac.usgs.gov/data/data-citation-and-policies/,"['040274', '040281', '0502a3', '0502b8', '0502ce', '0502e6','0602ff', '235cb1', '307ef3', '269db1', '30c8e2', '32d3ef','3be285', '3ff38f', '86e26f', '3ae237', 'b5e22e', 'd6e21f','fff705', 'ffd611', 'ffb613', 'ff8b13', 'ff6e08', 'ff500d','ff0000', 'de0101', 'c21301', 'a71001', '911003' ]"
MODIS/006/MOD11A1,LST_Night_1km,1000,03/05/2000,10/15/21,120,Nighttime Land Surface Temperature.,0.02,-273.15,celsius,QC_Day Not used,https://lpdaac.usgs.gov/data/data-citation-and-policies/,"['040274', '040281', '0502a3', '0502b8', '0502ce', '0502e6','0602ff', '235cb1', '307ef3', '269db1', '30c8e2', '32d3ef','3be285', '3ff38f', '86e26f', '3ae237', 'b5e22e', 'd6e21f','fff705', 'ffd611', 'ffb613', 'ff8b13', 'ff6e08', 'ff500d','ff0000', 'de0101', 'c21301', 'a71001', '911003' ]"
MODIS/006/MYD13A2,EVI,500 ,04/07/2002,08/10/2021,120,Enhanced Vegetation Index.,0.0001,0,0,0,https://lpdaac.usgs.gov/data/data-citation-and-policies/,"['FFFFFF', 'CE7E45', 'DF923D', 'F1B555', 'FCD163', '99B718', '74A901','66A000', '529400', '3E8601', '207401', '056201', '004C00', '023B01','012E01', '011D01', '011301']"
MODIS/006/MYD13A2,NDVI,500 ,04/07/2002,08/10/2021,120,Normalized Difference Vegetation Index.,0.0001,0,0,0,https://lpdaac.usgs.gov/data/data-citation-and-policies/,"['FFFFFF', 'CE7E45', 'DF923D', 'F1B555', 'FCD163', '99B718', '74A901','66A000', '529400', '3E8601', '207401', '056201', '004C00', '023B01','012E01', '011D01', '011301']"
IDAHO_EPSCOR/TERRACLIMATE,aet,4638.3 ,01/01/1958,01/12/2020,355,Actual evapotranspiration.,0.1,,mm,0,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
IDAHO_EPSCOR/TERRACLIMATE,def,4638.3 ,01/01/1958,01/12/2020,355,Climate water deficit.,0.1,,mm,,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
IDAHO_EPSCOR/TERRACLIMATE,pdsi,4638.3 ,01/01/1958,01/12/2020,355,Palmer Drought Severity Index.,0.01,,,,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
IDAHO_EPSCOR/TERRACLIMATE,pet,4638.3 ,01/01/1958,01/12/2020,400,ASCE Penman-Montieth.,0.1,,mm,,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
IDAHO_EPSCOR/TERRACLIMATE,pr,4638.3 ,01/01/1958,01/12/2020,355,Precipitation accumulation.,1,,mm,,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
IDAHO_EPSCOR/TERRACLIMATE,ro,4638.3 ,01/01/1958,01/12/2020,355,Runoff.,1,,mm,,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
IDAHO_EPSCOR/TERRACLIMATE,soil,4638.3 ,01/01/1958,01/12/2020,355,Soil moisture.,0.1,,mm,,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
IDAHO_EPSCOR/TERRACLIMATE,srad,4638.3 ,01/01/1958,01/12/2020,355,Downward surface shortwave radiation.,0.1,,W/m^2,,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
IDAHO_EPSCOR/TERRACLIMATE,vap,4638.3 ,01/01/1958,01/12/2020,355,Vapor pressure.,0.001,,kPa,,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
IDAHO_EPSCOR/TERRACLIMATE,vpd,4638.3 ,01/01/1958,01/12/2020,355,Vapor pressure deficit.,0.01,,kPa,,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
IDAHO_EPSCOR/TERRACLIMATE,vs,4638.3 ,01/01/1958,01/12/2020,355,Wind-speed at 10m.,0.01,,m/s,,https://www.nature.com/articles/sdata2017191,"[ '1a3678', '2955bc', '5699ff', '8dbae9', 'acd1ff', 'caebff', 'e5f9ff', 'fdffb4', 'ffe6a2', 'ffc969', 'ffa12d', 'ff7c1f', 'ca531a', 'ff0000', 'ab0000']"
COPERNICUS/S5P/NRTI/L3_CO,CO_column_number_density,1113.2,22/11/2018,03/11/2021,15,Vertically integrated CO column density.,1,,mol/m^2,,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_CO#bands,"['black', 'blue', 'purple', 'cyan', 'green', 'yellow', 'red']"
COPERNICUS/S5P/NRTI/L3_CO,H2O_column_number_density,1113.2,22/11/2018,03/11/2021,10,Water vapor column.,1,,mol/m^2,,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_CO#bands,"['black', 'blue', 'purple', 'cyan', 'green', 'yellow', 'red']"
COPERNICUS/S5P/NRTI/L3_AER_AI,absorbing_aerosol_index,1113.2,10/07/2018,03/11/2021,10,Prevalence of aerosols in the atmosphere.,1,,,,https://sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,"['black', 'blue', 'purple', 'cyan', 'green', 'yellow', 'red']"
COPERNICUS/S5P/NRTI/L3_NO2,NO2_column_number_density,1113.2,10/07/2018,05/11/2021,6,Total vertical column of NO2.,1.00E+00,,mol/m^2,,https://sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,"['black', 'blue', 'purple', 'cyan', 'green', 'yellow', 'red']"
COPERNICUS/S5P/NRTI/L3_HCHO,tropospheric_HCHO_column_number_density,1113.2,02/10/2018,05/11/2021,6,Tropospheric HCHO column number density.,1,,mol/m^2,,https://sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,"['black', 'blue', 'purple', 'cyan', 'green', 'yellow', 'red']"
COPERNICUS/S5P/NRTI/L3_O3,O3_column_number_density,1113.2,02/10/2018,05/11/2021,6,Total atmospheric column of O3,1,,mol/m^2,,https://sentinel.esa.int/documents/247904/2474726/Sentinel-5P-Level-2-Product-User-Manual-Ozone-Total-Column,"['black', 'blue', 'purple', 'cyan', 'green', 'yellow', 'red']"
