H2O_column_number_density,millis,system:index,Timestamp,Year,Month,Day,DOY
-251.03065224470356,1614589944000,20210301T091230_20210301T094135,2021-03-01 09:12:24,2021,3,1,60
-248.27736823995747,1614675199000,20210302T085324_20210302T092257,2021-03-02 08:53:19,2021,3,2,61
-256.4247878717218,1614681198000,20210302T103324_20210302T110300,2021-03-02 10:33:18,2021,3,2,61
-261.4129841752802,1614681499000,20210302T103824_20210302T110401,2021-03-02 10:38:19,2021,3,2,61
-251.9623681667137,1614766398000,20210303T101324_20210303T104419,2021-03-03 10:13:18,2021,3,3,62
-259.8637446326835,1614766698000,20210303T101824_20210303T104438,2021-03-03 10:18:18,2021,3,3,62
-254.62458031879805,1614851604000,20210304T095330_20210304T102455,2021-03-04 09:53:24,2021,3,4,63
-256.97000086367746,1614851904000,20210304T095830_20210304T102522,2021-03-04 09:58:24,2021,3,4,63
-265.75862879797705,1614857904000,20210304T113830_20210304T121856,2021-03-04 11:38:24,2021,3,4,63
-258.55489052372286,1614936804000,20210305T093330_20210305T100654,2021-03-05 09:33:24,2021,3,5,64
-259.05805632144325,1614937105000,20210305T093830_20210305T100726,2021-03-05 09:38:25,2021,3,5,64
-232.99757866956833,1614942804000,20210305T111330_20210305T120020,2021-03-05 11:13:24,2021,3,5,64
-261.3970992776904,1614943104000,20210305T111830_20210305T120123,2021-03-05 11:18:24,2021,3,5,64
-257.6260179967989,1615022304000,20210306T091830_20210306T094715,2021-03-06 09:18:24,2021,3,6,65
-264.73707610404574,1615022604000,20210306T092330_20210306T094734,2021-03-06 09:23:24,2021,3,6,65
-260.4163953653873,1615028304000,20210306T105830_20210306T114221,2021-03-06 10:58:24,2021,3,6,65
-266.3672634025436,1615028604000,20210306T110330_20210306T114132,2021-03-06 11:03:24,2021,3,6,65
-256.27035591093454,1615107504000,20210307T085830_20210307T092906,2021-03-07 08:58:24,2021,3,7,66
-265.1894599856869,1615107804000,20210307T090330_20210307T092947,2021-03-07 09:03:24,2021,3,7,66
-257.46708289679503,1615113505000,20210307T103830_20210307T110935,2021-03-07 10:38:25,2021,3,7,66
-264.4520078810982,1615113805000,20210307T104330_20210307T111007,2021-03-07 10:43:25,2021,3,7,66
-252.82719945328293,1615192704000,20210308T083830_20210308T091029,2021-03-08 08:38:24,2021,3,8,67
-256.7323117413156,1615198704000,20210308T101830_20210308T105111,2021-03-08 10:18:24,2021,3,8,67
-258.54834113338154,1615199004000,20210308T102330_20210308T105130,2021-03-08 10:23:24,2021,3,8,67
-257.6481486263109,1615283904000,20210309T095830_20210309T103157,2021-03-09 09:58:24,2021,3,9,68
-256.863020929053,1615284204000,20210309T100330_20210309T103236,2021-03-09 10:03:24,2021,3,9,68
-259.0952537442298,1615290204000,20210309T114330_20210309T122602,2021-03-09 11:43:24,2021,3,9,68
-259.7003553107899,1615369169000,20210310T093935_20210310T101317,2021-03-10 09:39:29,2021,3,10,69
-256.67179937812074,1615369469000,20210310T094435_20210310T101335,2021-03-10 09:44:29,2021,3,10,69
-253.99570909727709,1615375470000,20210310T112435_20210310T120906,2021-03-10 11:24:30,2021,3,10,69
