NO2_column_number_density,millis,system:index,Timestamp,Year,Month,Day,DOY
-273.14999866229726,1619863677000,20210501T100803_20210501T105115,2021-05-01 10:07:57,2021,5,1,121
-273.14999859983277,1619863977000,20210501T101303_20210501T105020,2021-05-01 10:12:57,2021,5,1,121
-273.1499987591404,1619948877000,20210502T094803_20210502T103251,2021-05-02 09:47:57,2021,5,2,122
-273.1499986325925,1619949177000,20210502T095303_20210502T103544,2021-05-02 09:52:57,2021,5,2,122
-273.14999866960164,1619954877000,20210502T112803_20210502T122647,2021-05-02 11:27:57,2021,5,2,122
-273.1499986114108,1619955177000,20210502T113303_20210502T122944,2021-05-02 11:32:57,2021,5,2,122
-273.14999887522805,1620034077000,20210503T092803_20210503T101318,2021-05-03 09:27:57,2021,5,3,123
-273.1499986441464,1620034378000,20210503T093303_20210503T101516,2021-05-03 09:32:58,2021,5,3,123
-273.14999869551,1620040077000,20210503T110803_20210503T120620,2021-05-03 11:07:57,2021,5,3,123
-273.14999865388523,1620040377000,20210503T111303_20210503T120819,2021-05-03 11:12:57,2021,5,3,123
-273.14999891113064,1620119277000,20210504T090803_20210504T095516,2021-05-04 09:07:57,2021,5,4,124
-273.14999870591566,1620119577000,20210504T091303_20210504T095717,2021-05-04 09:12:57,2021,5,4,124
-273.1499987663259,1620125277000,20210504T104803_20210504T114847,2021-05-04 10:47:57,2021,5,4,124
-273.1499986634023,1620125577000,20210504T105303_20210504T114946,2021-05-04 10:52:57,2021,5,4,124
-273.1499988771918,1620204777000,20210505T085303_20210505T093446,2021-05-05 08:52:57,2021,5,5,125
-273.1499987068774,1620210777000,20210505T103303_20210505T111617,2021-05-05 10:32:57,2021,5,5,125
-273.1499986798429,1620211077000,20210505T103803_20210505T111915,2021-05-05 10:37:57,2021,5,5,125
-273.1499987341107,1620295978000,20210506T101303_20210506T105914,2021-05-06 10:12:58,2021,5,6,126
-273.14999868931875,1620296277000,20210506T101803_20210506T110214,2021-05-06 10:17:57,2021,5,6,126
-273.149998765691,1620381177000,20210507T095303_20210507T103919,2021-05-07 09:52:57,2021,5,7,127
-273.14999871143345,1620381477000,20210507T095803_20210507T104215,2021-05-07 09:57:57,2021,5,7,127
-273.1499987603779,1620387477000,20210507T113803_20210507T123748,2021-05-07 11:37:57,2021,5,7,127
-273.14999886160774,1620466377000,20210508T093303_20210508T102015,2021-05-08 09:32:57,2021,5,8,128
-273.149998706467,1620466677000,20210508T093803_20210508T102216,2021-05-08 09:37:57,2021,5,8,128
-273.149998522564,1620472378000,20210508T111303_20210508T121349,2021-05-08 11:12:58,2021,5,8,128
-273.1499985790175,1620472678000,20210508T111803_20210508T121626,2021-05-08 11:17:58,2021,5,8,128
-273.1499987421659,1620551877000,20210509T091803_20210509T095914,2021-05-09 09:17:57,2021,5,9,129
-273.1499987611945,1620552177000,20210509T092303_20210509T100142,2021-05-09 09:22:57,2021,5,9,129
-273.14999865700867,1620557878000,20210509T105803_20210509T115256,2021-05-09 10:57:58,2021,5,9,129
-273.14999860453355,1620558177000,20210509T110303_20210509T115617,2021-05-09 11:02:57,2021,5,9,129
-273.14999868749226,1620637077000,20210510T085803_20210510T094244,2021-05-10 08:57:57,2021,5,10,130
-273.14999804766626,1620637378000,20210510T090303_20210510T094519,2021-05-10 09:02:58,2021,5,10,130
-273.14999863361425,1620643077000,20210510T103803_20210510T112314,2021-05-10 10:37:57,2021,5,10,130
-273.14999872903917,1620643377000,20210510T104303_20210510T112517,2021-05-10 10:42:57,2021,5,10,130
