Indicator,Country,ADM1_CODE,Province,Date,Data,Year,Month,Dekad,Unit,Source
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-01-01,0.399, 1984,01,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-01-11,0.343, 1984,01,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-01-21,0.349, 1984,01,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-02-01,0.532, 1984,02,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-02-11,0.63, 1984,02,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-02-21,0.498, 1984,02,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-03-01,0.51, 1984,03,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-03-11,0.437, 1984,03,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-03-21,0.406, 1984,03,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-04-01,0.478, 1984,04,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-04-11,0.474, 1984,04,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-04-21,0.378, 1984,04,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-05-01,0.292, 1984,05,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-05-11,0.233, 1984,05,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-05-21,0.329, 1984,05,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-06-01,0.424, 1984,06,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-06-11,0.494, 1984,06,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-06-21,0.542, 1984,06,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-07-01,0.477, 1984,07,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-07-11,0.438, 1984,07,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-07-21,0.418, 1984,07,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-08-01,0.431, 1984,08,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-08-11,0.471, 1984,08,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-08-21,0.487, 1984,08,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-09-01,0.434, 1984,09,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-09-11,0.464, 1984,09,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-09-21,0.457, 1984,09,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-10-01,0.49, 1984,10,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-10-11,0.58, 1984,10,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-10-21,0.613, 1984,10,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-11-01,0.449, 1984,11,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-11-11,0.317, 1984,11,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-11-21,0.216, 1984,11,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-12-01,0.223, 1984,12,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-12-11,0.243, 1984,12,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1984-12-21,0.245, 1984,12,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-01-01,0.326, 1985,01,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-01-11,0.373, 1985,01,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-01-21,0.167, 1985,01,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-02-01,0.082, 1985,02,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-02-11,0.07, 1985,02,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-02-21,0.13, 1985,02,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-03-01,0.265, 1985,03,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-03-11,0.338, 1985,03,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-03-21,0.191, 1985,03,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-04-01,0.173, 1985,04,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-04-11,0.267, 1985,04,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-04-21,0.175, 1985,04,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-05-01,0.186, 1985,05,1, ,FAO-ASIS
