Indicator,Country,ADM1_CODE,Province,Date,Data,Year,Month,Dekad,Unit,Source
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-01-01,0.557, 1984,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-01-11,0.563, 1984,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-01-21,0.559, 1984,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-02-01,0.578, 1984,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-02-11,0.546, 1984,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-02-21,0.472, 1984,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-03-01,0.49, 1984,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-03-11,0.463, 1984,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-03-21,0.477, 1984,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-04-01,0.525, 1984,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-04-11,0.525, 1984,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-04-21,0.507, 1984,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-05-01,0.537, 1984,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-05-11,0.558, 1984,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-05-21,0.601, 1984,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-06-01,0.631, 1984,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-06-11,0.651, 1984,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-06-21,0.63, 1984,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-07-01,0.569, 1984,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-07-11,0.523, 1984,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-07-21,0.496, 1984,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-08-01,0.507, 1984,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-08-11,0.515, 1984,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-08-21,0.529, 1984,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-09-01,0.576, 1984,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-09-11,0.626, 1984,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-09-21,0.631, 1984,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-10-01,0.599, 1984,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-10-11,0.609, 1984,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-10-21,0.649, 1984,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-11-01,0.58, 1984,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-11-11,0.514, 1984,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-11-21,0.493, 1984,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-12-01,0.535, 1984,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-12-11,0.6, 1984,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1984-12-21,0.594, 1984,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-01-01,0.599, 1985,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-01-11,0.597, 1985,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-01-21,0.532, 1985,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-02-01,0.485, 1985,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-02-11,0.385, 1985,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-02-21,0.332, 1985,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-03-01,0.317, 1985,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-03-11,0.282, 1985,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-03-21,0.228, 1985,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-04-01,0.316, 1985,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-04-11,0.408, 1985,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-04-21,0.422, 1985,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-05-01,0.457, 1985,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-05-11,0.459, 1985,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-05-21,0.471, 1985,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-06-01,0.445, 1985,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-06-11,0.426, 1985,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-06-21,0.393, 1985,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-07-01,0.337, 1985,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-07-11,0.27, 1985,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-07-21,0.246, 1985,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-08-01,0.246, 1985,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-08-11,0.283, 1985,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-08-21,0.287, 1985,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-09-01,0.311, 1985,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-09-11,0.354, 1985,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-09-21,0.378, 1985,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-10-01,0.328, 1985,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-10-11,0.321, 1985,10,2, ,FAO-ASIS
