absorbing_aerosol_index,millis,system:index,Timestamp,Year,Month,Day,DOY
-273.1571004880705,1614589944000,20210301T091230_20210301T094140,2021-03-01 09:12:24,2021,3,1,60
-273.159288036198,1614675199000,20210302T085324_20210302T092301,2021-03-02 08:53:19,2021,3,2,61
-273.16343753334036,1614681198000,20210302T103324_20210302T110304,2021-03-02 10:33:18,2021,3,2,61
-273.1716959534339,1614681499000,20210302T103824_20210302T110405,2021-03-02 10:38:19,2021,3,2,61
-273.1624680672642,1614766398000,20210303T101324_20210303T104423,2021-03-03 10:13:18,2021,3,3,62
-273.1689902449384,1614766698000,20210303T101824_20210303T104444,2021-03-03 10:18:18,2021,3,3,62
-273.1577505475968,1614851604000,20210304T095330_20210304T102459,2021-03-04 09:53:24,2021,3,4,63
-273.1654600252909,1614851904000,20210304T095830_20210304T102527,2021-03-04 09:58:24,2021,3,4,63
-273.16968357021443,1614857904000,20210304T113830_20210304T121901,2021-03-04 11:38:24,2021,3,4,63
-273.15665248329844,1614936804000,20210305T093330_20210305T100700,2021-03-05 09:33:24,2021,3,5,64
-273.1594528557668,1614937105000,20210305T093830_20210305T100731,2021-03-05 09:38:25,2021,3,5,64
-273.16967792179486,1614942804000,20210305T111330_20210305T120026,2021-03-05 11:13:24,2021,3,5,64
-273.1697247724097,1614943104000,20210305T111830_20210305T120129,2021-03-05 11:18:24,2021,3,5,64
-273.1553596086413,1615022304000,20210306T091830_20210306T094720,2021-03-06 09:18:24,2021,3,6,65
-273.17071365580784,1615022604000,20210306T092330_20210306T094738,2021-03-06 09:23:24,2021,3,6,65
-273.16452610200247,1615028304000,20210306T105830_20210306T114227,2021-03-06 10:58:24,2021,3,6,65
-273.1691930987066,1615028604000,20210306T110330_20210306T114135,2021-03-06 11:03:24,2021,3,6,65
-273.1539661514463,1615107504000,20210307T085830_20210307T092913,2021-03-07 08:58:24,2021,3,7,66
-273.15951113192324,1615107804000,20210307T090330_20210307T092958,2021-03-07 09:03:24,2021,3,7,66
-273.15958270166345,1615113505000,20210307T103830_20210307T110941,2021-03-07 10:38:25,2021,3,7,66
-273.16569892004566,1615113805000,20210307T104330_20210307T111011,2021-03-07 10:43:25,2021,3,7,66
-273.16546986739587,1615192704000,20210308T083830_20210308T091034,2021-03-08 08:38:24,2021,3,8,67
-273.1596272350891,1615198704000,20210308T101830_20210308T105115,2021-03-08 10:18:24,2021,3,8,67
-273.15928169543565,1615199004000,20210308T102330_20210308T105135,2021-03-08 10:23:24,2021,3,8,67
-273.16007361909897,1615283904000,20210309T095830_20210309T103202,2021-03-09 09:58:24,2021,3,9,68
-273.15835936205053,1615284204000,20210309T100330_20210309T103241,2021-03-09 10:03:24,2021,3,9,68
-273.1486976534973,1615290204000,20210309T114330_20210309T122608,2021-03-09 11:43:24,2021,3,9,68
-273.1590611736015,1615369169000,20210310T093935_20210310T101321,2021-03-10 09:39:29,2021,3,10,69
-273.15827400331614,1615369469000,20210310T094435_20210310T101340,2021-03-10 09:44:29,2021,3,10,69
-273.161707010952,1615375470000,20210310T112435_20210310T120913,2021-03-10 11:24:30,2021,3,10,69
