aet,millis,system:index,Timestamp,Year,Month,Day,DOY
-271.24098704506395,1548979200000,201902,2019-02-01,2019,2,1,32
-271.44324568148596,1551398400000,201903,2019-03-01,2019,3,1,60
-269.50463766862964,1554076800000,201904,2019-04-01,2019,4,1,91
-270.6135197511984,1556668800000,201905,2019-05-01,2019,5,1,121
-272.6976803306476,1559347200000,201906,2019-06-01,2019,6,1,152
-273.1235434199195,1561939200000,201907,2019-07-01,2019,7,1,182
-272.7473655198275,1564617600000,201908,2019-08-01,2019,8,1,213
-272.68778814271235,1567296000000,201909,2019-09-01,2019,9,1,244
-272.1111348277113,1569888000000,201910,2019-10-01,2019,10,1,274
-268.06695306234843,1572566400000,201911,2019-11-01,2019,11,1,305
-271.7680635075244,1575158400000,201912,2019-12-01,2019,12,1,335
-272.53732524837636,1577836800000,202001,2020-01-01,2020,1,1,1
