cloud_fraction,millis,system:index,Timestamp,Year,Month,Day,DOY
-273.14841467345576,1619863677000,20210501T100803_20210501T103750,2021-05-01 10:07:57,2021,5,1,121
-273.1499995653358,1619863977000,20210501T101303_20210501T103809,2021-05-01 10:12:57,2021,5,1,121
-273.143535168559,1619948877000,20210502T094803_20210502T101929,2021-05-02 09:47:57,2021,5,2,122
-273.1490966830615,1619949177000,20210502T095303_20210502T101853,2021-05-02 09:52:57,2021,5,2,122
-273.1456483083039,1619954877000,20210502T112803_20210502T121634,2021-05-02 11:27:57,2021,5,2,122
-273.14681395599945,1619955177000,20210502T113303_20210502T121704,2021-05-02 11:32:57,2021,5,2,122
-273.1451366443478,1620034077000,20210503T092803_20210503T100030,2021-05-03 09:27:57,2021,5,3,123
-273.149126749884,1620034378000,20210503T093303_20210503T100143,2021-05-03 09:32:58,2021,5,3,123
-273.14387038101734,1620040077000,20210503T110803_20210503T115408,2021-05-03 11:07:57,2021,5,3,123
-273.149720003856,1620040377000,20210503T111303_20210503T115432,2021-05-03 11:12:57,2021,5,3,123
-273.1495248694969,1620119277000,20210504T090803_20210504T093950,2021-05-04 09:07:57,2021,5,4,124
-273.14979522811126,1620119577000,20210504T091303_20210504T094138,2021-05-04 09:12:57,2021,5,4,124
-273.14621167888794,1620125277000,20210504T104803_20210504T113505,2021-05-04 10:47:57,2021,5,4,124
-273.1491726312217,1620125577000,20210504T105303_20210504T113612,2021-05-04 10:52:57,2021,5,4,124
-273.1475381091953,1620204777000,20210505T085303_20210505T092052,2021-05-05 08:52:57,2021,5,5,125
-273.14803025624866,1620210777000,20210505T103303_20210505T110205,2021-05-05 10:32:57,2021,5,5,125
-273.15,1620211077000,20210505T103803_20210505T110326,2021-05-05 10:37:57,2021,5,5,125
-273.14765805099404,1620295978000,20210506T101303_20210506T104313,2021-05-06 10:12:58,2021,5,6,126
-273.14975744400573,1620296277000,20210506T101803_20210506T104503,2021-05-06 10:17:57,2021,5,6,126
-273.1444415597063,1620381177000,20210507T095303_20210507T102529,2021-05-07 09:52:57,2021,5,7,127
-273.1481991969059,1620381477000,20210507T095803_20210507T102613,2021-05-07 09:57:57,2021,5,7,127
-273.14482570852954,1620387477000,20210507T113803_20210507T122201,2021-05-07 11:37:57,2021,5,7,127
-273.14808535044006,1620466377000,20210508T093303_20210508T100626,2021-05-08 09:32:57,2021,5,8,128
-273.14936887011953,1620466677000,20210508T093803_20210508T100726,2021-05-08 09:37:57,2021,5,8,128
-273.1478435530681,1620472378000,20210508T111303_20210508T120034,2021-05-08 11:12:58,2021,5,8,128
-273.14783379290515,1620472678000,20210508T111803_20210508T120203,2021-05-08 11:17:58,2021,5,8,128
-273.1494332234214,1620551877000,20210509T091803_20210509T094724,2021-05-09 09:17:57,2021,5,9,129
-273.15,1620552177000,20210509T092303_20210509T094757,2021-05-09 09:22:57,2021,5,9,129
-273.1486280248184,1620557878000,20210509T105803_20210509T114129,2021-05-09 10:57:58,2021,5,9,129
-273.1493873249251,1620558177000,20210509T110303_20210509T114305,2021-05-09 11:02:57,2021,5,9,129
-273.149982023445,1620637077000,20210510T085803_20210510T092913,2021-05-10 08:57:57,2021,5,10,130
-273.1498960038167,1620637378000,20210510T090303_20210510T092940,2021-05-10 09:02:58,2021,5,10,130
-273.14499171174543,1620643077000,20210510T103803_20210510T110911,2021-05-10 10:37:57,2021,5,10,130
-273.14673333938,1620643377000,20210510T104303_20210510T111010,2021-05-10 10:42:57,2021,5,10,130
