def,millis,system:index,Timestamp,Year,Month,Day,DOY
-251.01441557034633,1548979200000,201902,2019-02-01,2019,2,1,32
-239.29592806527123,1551398400000,201903,2019-03-01,2019,3,1,60
-236.25823183279306,1554076800000,201904,2019-04-01,2019,4,1,91
-230.32134880433588,1556668800000,201905,2019-05-01,2019,5,1,121
-221.34264146068986,1559347200000,201906,2019-06-01,2019,6,1,152
-215.34689883405872,1561939200000,201907,2019-07-01,2019,7,1,182
-217.93095855808662,1564617600000,201908,2019-08-01,2019,8,1,213
-226.36013578501922,1567296000000,201909,2019-09-01,2019,9,1,244
-237.7268314272369,1569888000000,201910,2019-10-01,2019,10,1,274
-251.3208350491974,1572566400000,201911,2019-11-01,2019,11,1,305
-253.5549549850717,1575158400000,201912,2019-12-01,2019,12,1,335
-251.6975880349268,1577836800000,202001,2020-01-01,2020,1,1,1
