millis,pet,system:index,Timestamp,Year,Month,Day,DOY
1546300800000,-249.63186699627735,201901,2019-01-01,2019,1,1,1
1548979200000,-249.10544572113704,201902,2019-02-01,2019,2,1,32
1551398400000,-237.58917797949113,201903,2019-03-01,2019,3,1,60
1554076800000,-232.61295451469823,201904,2019-04-01,2019,4,1,91
1556668800000,-227.7848591581277,201905,2019-05-01,2019,5,1,121
1559347200000,-220.89031996832244,201906,2019-06-01,2019,6,1,152
1561939200000,-215.32041764891832,201907,2019-07-01,2019,7,1,182
1564617600000,-217.52829231743786,201908,2019-08-01,2019,8,1,213
1567296000000,-225.89791749472573,201909,2019-09-01,2019,9,1,244
1569888000000,-236.6879977805555,201910,2019-10-01,2019,10,1,274
1572566400000,-246.2379178925974,201911,2019-11-01,2019,11,1,305
1575158400000,-252.17302649362227,201912,2019-12-01,2019,12,1,335
1577836800000,-251.08491505755183,202001,2020-01-01,2020,1,1,1
