millis,soil,system:index,Timestamp,Year,Month,Day,DOY
1548979200000,-273.06762071837903,201902,2019-02-01,2019,2,1,32
1551398400000,-273.0786659596941,201903,2019-03-01,2019,3,1,60
1554076800000,-273.0875029791997,201904,2019-04-01,2019,4,1,91
1556668800000,-273.0916821366819,201905,2019-05-01,2019,5,1,121
1559347200000,-273.09713592260397,201906,2019-06-01,2019,6,1,152
1561939200000,-273.1021779177244,201907,2019-07-01,2019,7,1,182
1564617600000,-273.1062812651278,201908,2019-08-01,2019,8,1,213
1567296000000,-273.105390980943,201909,2019-09-01,2019,9,1,244
1569888000000,-273.1100618430144,201910,2019-10-01,2019,10,1,274
1572566400000,-273.0313512407805,201911,2019-11-01,2019,11,1,305
1575158400000,-273.0842817121488,201912,2019-12-01,2019,12,1,335
1577836800000,-273.0942140485804,202001,2020-01-01,2020,1,1,1
