millis,srad,system:index,Timestamp,Year,Month,Day,DOY
1548979200000,-233.83133702413983,201902,2019-02-01,2019,2,1,32
1551398400000,-226.72710105061304,201903,2019-03-01,2019,3,1,60
1554076800000,-221.97636564855526,201904,2019-04-01,2019,4,1,91
1556668800000,-221.12276649706246,201905,2019-05-01,2019,5,1,121
1559347200000,-218.20200254720174,201906,2019-06-01,2019,6,1,152
1561939200000,-218.45212788322067,201907,2019-07-01,2019,7,1,182
1564617600000,-220.70793165950374,201908,2019-08-01,2019,8,1,213
1567296000000,-224.98741231480994,201909,2019-09-01,2019,9,1,244
1569888000000,-231.82401785595664,201910,2019-10-01,2019,10,1,274
1572566400000,-237.53266477244267,201911,2019-11-01,2019,11,1,305
1575158400000,-241.68429991651007,201912,2019-12-01,2019,12,1,335
1577836800000,-238.03763192128224,202001,2020-01-01,2020,1,1,1
