millis,system:index,tropospheric_HCHO_column_number_density,Timestamp,Year,Month,Day,DOY
1619863677000,20210501T100803_20210501T105114,-273.14999825863856,2021-05-01 10:07:57,2021,5,1,121
1619863977000,20210501T101303_20210501T105018,-273.14999866368305,2021-05-01 10:12:57,2021,5,1,121
1619948877000,20210502T094803_20210502T103249,-273.14999813847174,2021-05-02 09:47:57,2021,5,2,122
1619949177000,20210502T095303_20210502T103544,-273.14999842241303,2021-05-02 09:52:57,2021,5,2,122
1619954877000,20210502T112803_20210502T122645,-273.1499979835435,2021-05-02 11:27:57,2021,5,2,122
1619955177000,20210502T113303_20210502T122942,-273.1499986058397,2021-05-02 11:32:57,2021,5,2,122
1620034077000,20210503T092803_20210503T101317,-273.149998340461,2021-05-03 09:27:57,2021,5,3,123
1620034378000,20210503T093303_20210503T101515,-273.1499984678608,2021-05-03 09:32:58,2021,5,3,123
1620040077000,20210503T110803_20210503T120618,-273.1499980217718,2021-05-03 11:07:57,2021,5,3,123
1620040377000,20210503T111303_20210503T120817,-273.1499982985524,2021-05-03 11:12:57,2021,5,3,123
1620119277000,20210504T090803_20210504T095514,-273.14999857057336,2021-05-04 09:07:57,2021,5,4,124
1620119577000,20210504T091303_20210504T095716,-273.14999848828654,2021-05-04 09:12:57,2021,5,4,124
1620125277000,20210504T104803_20210504T114845,-273.14999832209884,2021-05-04 10:47:57,2021,5,4,124
1620125577000,20210504T105303_20210504T114944,-273.14999831668257,2021-05-04 10:52:57,2021,5,4,124
1620204777000,20210505T085303_20210505T093445,-273.149998503121,2021-05-05 08:52:57,2021,5,5,125
1620210777000,20210505T103303_20210505T111615,-273.14999820435105,2021-05-05 10:32:57,2021,5,5,125
1620211077000,20210505T103803_20210505T111914,-273.1499981714105,2021-05-05 10:37:57,2021,5,5,125
1620295978000,20210506T101303_20210506T105913,-273.14999809403605,2021-05-06 10:12:58,2021,5,6,126
1620296277000,20210506T101803_20210506T110214,-273.1499985586016,2021-05-06 10:17:57,2021,5,6,126
1620381177000,20210507T095303_20210507T103918,-273.1499982238535,2021-05-07 09:52:57,2021,5,7,127
1620381477000,20210507T095803_20210507T104214,-273.1499982885211,2021-05-07 09:57:57,2021,5,7,127
1620387477000,20210507T113803_20210507T123746,-273.14999927485496,2021-05-07 11:37:57,2021,5,7,127
1620466377000,20210508T093303_20210508T102014,-273.14999824548,2021-05-08 09:32:57,2021,5,8,128
1620466677000,20210508T093803_20210508T102215,-273.14999823172326,2021-05-08 09:37:57,2021,5,8,128
1620472378000,20210508T111303_20210508T121347,-273.149998397342,2021-05-08 11:12:58,2021,5,8,128
1620472678000,20210508T111803_20210508T121625,-273.1499986199235,2021-05-08 11:17:58,2021,5,8,128
1620551877000,20210509T091803_20210509T095913,-273.14999830617705,2021-05-09 09:17:57,2021,5,9,129
1620552177000,20210509T092303_20210509T100142,-273.1499992384949,2021-05-09 09:22:57,2021,5,9,129
1620557878000,20210509T105803_20210509T115254,-273.14999848863556,2021-05-09 10:57:58,2021,5,9,129
1620558177000,20210509T110303_20210509T115616,-273.14999857420946,2021-05-09 11:02:57,2021,5,9,129
1620637077000,20210510T085803_20210510T094242,-273.1499981137162,2021-05-10 08:57:57,2021,5,10,130
1620637378000,20210510T090303_20210510T094518,-273.1499981016047,2021-05-10 09:02:58,2021,5,10,130
1620643077000,20210510T103803_20210510T112313,-273.1499983033238,2021-05-10 10:37:57,2021,5,10,130
1620643377000,20210510T104303_20210510T112516,-273.14999867042275,2021-05-10 10:42:57,2021,5,10,130
