millis,system:index,vap,Timestamp,Year,Month,Day,DOY
1548979200000,201902,-254.6722354589091,2019-02-01,2019,2,1,32
1551398400000,201903,-256.8034753327721,2019-03-01,2019,3,1,60
1554076800000,201904,-253.29830501400988,2019-04-01,2019,4,1,91
1556668800000,201905,-251.9683614617196,2019-05-01,2019,5,1,121
1559347200000,201906,-251.65518301936757,2019-06-01,2019,6,1,152
1561939200000,201907,-251.4092901525001,2019-07-01,2019,7,1,182
1564617600000,201908,-250.13609742257813,2019-08-01,2019,8,1,213
1567296000000,201909,-248.24370751053942,2019-09-01,2019,9,1,244
1569888000000,201910,-247.52770964139776,2019-10-01,2019,10,1,274
1572566400000,201911,-248.73279613634404,2019-11-01,2019,11,1,305
1575158400000,201912,-252.29777700079765,2019-12-01,2019,12,1,335
1577836800000,202001,-255.8586765140086,2020-01-01,2020,1,1,1
